"순서","시군구코드","하천/호수일련번호","하천/호수명_한글","하천/호수명_영문","위도","경도"
"152","11545","3"," "," ","37.4534931","126.8967809"
"153","11545","4"," "," ","37.453438","126.8965677"
"154","11545","5"," "," ","37.4534175","126.8967901"
"116","11215","12"," "," ","37.5469924","127.0819051"
"118","11110","22","구기천"," ","37.611946","126.9584079"
"119","11230","5","하천"," ","37.5977372","127.0546313"
"121","11230","2","정릉천","Jeongneungcheon","37.5863108","127.037064"
"122","11230","4","하천"," ","37.5977293","127.0519255"
"156","11320","11","중랑천"," ","37.6406087","127.0556382"
"123","11230","12","하천"," ","37.5610642","127.0705477"
"130","11650","20","한강","Hangang","37.516015","126.9992369"
"131","11110","7"," "," ","37.5823924","126.9942186"
"133","11305","3"," "," ","37.6341143","127.0382521"
"139","11740","29"," "," ","37.5348756","127.1548231"
"141","11215","6"," "," ","37.5531526","127.1105949"
"145","11680","3"," "," ","37.5146538","127.0574373"
"147","11260","10"," "," ","37.6065564","127.1044868"
"124","11380","1","창릉천"," ","37.6418507","126.9404663"
"125","11590","10","하천"," ","37.4914613","126.9169647"
"126","11590","1","하천"," ","37.5001352","126.9723283"
"127","11590","5","하천"," ","37.5031845","126.9750971"
"128","11740","6","고덕천"," ","37.5677943","127.1596309"
"84","11530","28","안양천"," ","37.5015785","126.8757123"
"85","11110","4"," "," ","37.5881955","126.9930518"
"87","11380","5"," "," ","37.6548146","126.9526902"
"88","11380","12"," "," ","37.6510368","126.9394087"
"90","11530","20"," "," ","37.4836518","126.8528321"
"91","11530","4"," "," ","37.5047651","126.8486624"
"94","11380","27"," "," ","37.6160447","126.9056317"
"96","11530","16"," "," ","37.4842528","126.8263545"
"97","11110","6"," "," ","37.5828173","126.9925724"
"98","11530","27","도림천"," ","37.5007367","126.8916556"
"99","11110","18","청계천"," ","37.5700523","127.001015"
"101","11140","3","청계천"," ","37.5700523","127.001015"
"102","11320","6"," "," ","37.6604967","127.0185572"
"104","11350","3"," "," ","37.6542117","127.0750393"
"106","11590","11","하천"," ","37.5087194","126.9669253"
"107","11380","8"," "," ","37.6523014","126.9401069"
"110","11680","2"," "," ","37.5146513","127.0574418"
"111","11545","7","안양천"," ","37.4568618","126.8863544"
"114","11740","9"," "," ","37.5649925","127.1473348"
"78","11380","24"," "," ","37.6380649","126.9357157"
"80","11530","23"," "," ","37.4825753","126.8253658"
"83","11110","15"," "," ","37.5723128","126.9942659"
"86","11230","1","안암천","Anamcheon","37.575103","127.0263422"
"89","11380","26"," "," ","37.6378534","126.9359754"
"92","11530","7"," "," ","37.5011804","126.8674663"
"93","11380","18"," "," ","37.6446969","126.9292573"
